time,s1.x,s1.y,s2.x,s2.y,scom.x,scom.y,v1.x,v1.y,v2.x,v2.y,vcom.x,vcom.y,p1.x,p1.y,p2.x,p2.y,p.x,p.y,w1,w2,L1,L2,L,E1,E2,E
0.000000,0.000010,0.010000,0.499980,0.000000,0.250000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.001000,0.001010,0.010000,0.497980,0.000000,0.249500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.002000,0.002010,0.010000,0.495980,0.000000,0.249000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.003000,0.003010,0.010000,0.493980,0.000000,0.248500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.004000,0.004010,0.010000,0.491980,0.000000,0.248000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.005000,0.005010,0.010000,0.489980,0.000000,0.247500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.006000,0.006010,0.010000,0.487980,0.000000,0.247000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.007000,0.007010,0.010000,0.485980,0.000000,0.246500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.008000,0.008010,0.010000,0.483980,0.000000,0.246000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.009000,0.009010,0.010000,0.481980,0.000000,0.245500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.010000,0.010010,0.010000,0.479980,0.000000,0.245000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.011000,0.011010,0.010000,0.477980,0.000000,0.244500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.012000,0.012010,0.010000,0.475980,0.000000,0.244000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.013000,0.013010,0.010000,0.473980,0.000000,0.243500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.014000,0.014010,0.010000,0.471980,0.000000,0.243000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.015000,0.015010,0.010000,0.469980,0.000000,0.242500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.016000,0.016010,0.010000,0.467980,0.000000,0.242000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.017000,0.017010,0.010000,0.465980,0.000000,0.241500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.018000,0.018010,0.010000,0.463980,0.000000,0.241000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.019000,0.019010,0.010000,0.461980,0.000000,0.240500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.020000,0.020010,0.010000,0.459980,0.000000,0.240000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.021000,0.021010,0.010000,0.457980,0.000000,0.239500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.022000,0.022010,0.010000,0.455980,0.000000,0.239000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.023000,0.023010,0.010000,0.453980,0.000000,0.238500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.024000,0.024010,0.010000,0.451980,0.000000,0.238000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.025000,0.025010,0.010000,0.449980,0.000000,0.237500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.026000,0.026010,0.010000,0.447980,0.000000,0.237000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.027000,0.027010,0.010000,0.445980,0.000000,0.236500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.028000,0.028010,0.010000,0.443980,0.000000,0.236000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.029000,0.029010,0.010000,0.441980,0.000000,0.235500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.030000,0.030010,0.010000,0.439980,0.000000,0.235000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.031000,0.031010,0.010000,0.437980,0.000000,0.234500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.032000,0.032010,0.010000,0.435980,0.000000,0.234000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.033000,0.033010,0.010000,0.433980,0.000000,0.233500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.034000,0.034010,0.010000,0.431980,0.000000,0.233000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.035000,0.035010,0.010000,0.429980,0.000000,0.232500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.036000,0.036010,0.010000,0.427980,0.000000,0.232000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.037000,0.037010,0.010000,0.425980,0.000000,0.231500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.038000,0.038010,0.010000,0.423980,0.000000,0.231000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.039000,0.039010,0.010000,0.421980,0.000000,0.230500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
0.040000,0.040010,0.010000,0.419980,0.000000,0.230000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800,0.000000,-0.025400,0.000000,3.000000,-5.000000,-0.000226,-0.000046,-0.000273,0.012742,0.050916,0.063658
